spk;file;i;POScontextLeft;POScontextRight;duration;wordLeft;wordLeftEndingLarger;wordLeftEndingLargerNb;wordLeftDepth;wordLeftTagw;boundaryStrength;wordRight;wordRightStartingLarger;wordRightStartingLargerNb;wordRightDepth;wordRightTagw;start;end
4;4_9;0;start;INTJ;0.47;start;ADVP;1;2;RB;1;please;;;1;VB;0.0;0.47
4;4_9;4;NOUN;VERB;0.19999999999999996;stella;NP;1;2;PRP;5;ask;S;66;5;VB;1.58;1.78
4;4_9;10;DET;NOUN;0.10000000000000009;these;;;9;DT;0;things;;;9;NNS;3.17;3.27
4;4_9;14;PRON;ADP;0.1200000000000001;her;PP;2;10;PRP;3;from;PP;3;9;IN;4.25;4.37
4;4_9;18;NOUN;NUM;0.4400000000000004;store;PP;3;10;NN;5;six;NP;12;11;CD;5.14;5.58
4;4_9;25;NOUN;NUM;0.20000000000000018;peas;PP;4;12;NNS;3;five;NP;3;11;CD;7.72;7.92
4;4_9;27;NUM;ADJ;0.7599999999999998;five;;;11;CD;0;thick;;;11;JJ;8.31;9.07
4;4_9;29;ADJ;NOUN;0.41999999999999993;thick;;;11;JJ;0;slabs;;;11;NNS;9.41;9.83
4;4_9;35;CCONJ;ADV;0.08000000000000007;and;;;8;CC;1;maybe;ADVP;1;9;RB;10.91;10.99
4;4_9;37;ADV;DET;0.11999999999999922;maybe;ADVP;1;9;RB;3;a;NP;6;10;DT;11.39;11.51
4;4_9;43;NOUN;PROPN;0.5999999999999996;brother;;;11;PRP$;0;bob;;;11;NN;13.15;13.75
4;4_9;47;ADV;VERB;0.5;also;ADVP;1;4;RB;3;need;VP;33;5;VBP;14.84;15.34
4;4_9;53;NOUN;CCONJ;0.23000000000000043;snake;NP;4;8;NN;1;and;;;7;CC;17.31;17.54
4;4_9;55;CCONJ;DET;0.5500000000000007;and;;;7;CC;2;a;NP;7;9;DT;17.88;18.43
4;4_9;63;NOUN;PRON;0.4700000000000024;kids;NP;12;10;NNS;6;she;S;9;8;PRP;21.04;21.51
4;4_9;67;VERB;DET;0.10999999999999943;scoop;;;9;VB;1;these;NP;2;10;DT;22.3;22.41
4;4_9;69;DET;NOUN;0.060000000000002274;these;;;10;DT;0;things;;;10;NNS;22.86;22.92
4;4_9;73;NUM;ADJ;0.120000000000001;three;;;11;CD;0;red;;;11;JJ;24.02;24.14
4;4_9;76;NOUN;CCONJ;1.1099999999999994;bags;VP;22;11;NNS;7;and;;;4;CC;24.96;26.07
4;4_9;88;NOUN;end;0.5408620000000006;station;S;69;10;NN;10;end;;;0;end;29.32;29.861
4_9_input;4_9_input;0;start;INTJ;0.47;start;ADVP;1;2;RB;1;please;;;1;VB;0.0;0.47
4_9_input;4_9_input;4;NOUN;VERB;0.19999999999999996;stella;NP;1;2;PRP;5;ask;S;66;5;VB;1.58;1.78
4_9_input;4_9_input;10;DET;NOUN;0.10000000000000009;these;;;9;DT;0;things;;;9;NNS;3.17;3.27
4_9_input;4_9_input;14;PRON;ADP;0.1200000000000001;her;PP;2;10;PRP;3;from;PP;3;9;IN;4.25;4.37
4_9_input;4_9_input;18;NOUN;NUM;0.4400000000000004;store;PP;3;10;NN;5;six;NP;12;11;CD;5.14;5.58
4_9_input;4_9_input;25;NOUN;NUM;0.20000000000000018;peas;PP;4;12;NNS;3;five;NP;3;11;CD;7.72;7.92
4_9_input;4_9_input;27;NUM;ADJ;0.7599999999999998;five;;;11;CD;0;thick;;;11;JJ;8.31;9.07
4_9_input;4_9_input;29;ADJ;NOUN;0.41999999999999993;thick;;;11;JJ;0;slabs;;;11;NNS;9.41;9.83
4_9_input;4_9_input;35;CCONJ;ADV;0.08000000000000007;and;;;8;CC;1;maybe;ADVP;1;9;RB;10.91;10.99
4_9_input;4_9_input;37;ADV;DET;0.11999999999999922;maybe;ADVP;1;9;RB;3;a;NP;6;10;DT;11.39;11.51
4_9_input;4_9_input;43;NOUN;PROPN;0.5999999999999996;brother;;;11;PRP$;0;bob;;;11;NN;13.15;13.75
4_9_input;4_9_input;47;ADV;VERB;0.5;also;ADVP;1;4;RB;3;need;VP;33;5;VBP;14.84;15.34
4_9_input;4_9_input;53;NOUN;CCONJ;0.23000000000000043;snake;NP;4;8;NN;1;and;;;7;CC;17.31;17.54
4_9_input;4_9_input;55;CCONJ;DET;0.5500000000000007;and;;;7;CC;2;a;NP;7;9;DT;17.88;18.43
4_9_input;4_9_input;63;NOUN;PRON;0.4700000000000024;kids;NP;12;10;NNS;6;she;S;9;8;PRP;21.04;21.51
4_9_input;4_9_input;67;VERB;DET;0.10999999999999943;scoop;;;9;VB;1;these;NP;2;10;DT;22.3;22.41
4_9_input;4_9_input;69;DET;NOUN;0.060000000000002274;these;;;10;DT;0;things;;;10;NNS;22.86;22.92
4_9_input;4_9_input;73;NUM;ADJ;0.120000000000001;three;;;11;CD;0;red;;;11;JJ;24.02;24.14
4_9_input;4_9_input;76;NOUN;CCONJ;1.1099999999999994;bags;VP;22;11;NNS;7;and;;;4;CC;24.96;26.07
4_9_input;4_9_input;88;NOUN;end;0.5408620000000006;station;S;69;10;NN;10;end;;;0;end;29.32;29.861
